benchmark,algorithm,version,time,cost,solved
Average Grade 1,A*+OD+ID,correct TSP cache (TU),611,441,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),320,372,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),329,450,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),338,398,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),365,458,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),369,401,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),326,442,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),349,416,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),1820,382,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),350,438,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),100,412,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),156,419,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),80,397,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),133,382,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),217,437,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),212,418,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),75,393,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),199,433,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),343,451,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),80,407,t
Average Grade 1,CBS,(TUD),157,411,t
Average Grade 1,CBS,(TUD),92,416,t
Average Grade 1,CBS,(TUD),91,421,t
Average Grade 1,CBS,(TUD),90,377,t
Average Grade 1,CBS,(TUD),193,386,t
Average Grade 1,CBS,(TUD),189,371,t
Average Grade 1,CBS,(TUD),93,473,t
Average Grade 1,CBS,(TUD),133,437,t
Average Grade 1,CBS,(TUD),99,340,t
Average Grade 1,CBS,(TUD),107,418,t
Average Grade 1,M*,Python inflated,78,418,t
Average Grade 1,M*,Python inflated,266,380,t
Average Grade 1,M*,Python inflated,94,372,t
Average Grade 1,M*,Python inflated,94,443,t
Average Grade 1,M*,Python inflated,94,449,t
Average Grade 1,M*,Python inflated,250,429,t
Average Grade 1,M*,Python inflated,94,422,t
Average Grade 1,M*,Python inflated,93,396,t
Average Grade 1,M*,Python inflated,95,439,t
Average Grade 1,M*,Python inflated,78,457,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",58,489,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",54,493,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",94,568,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",61,502,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",66,490,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",63,521,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",83,528,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",72,430,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",56,502,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",85,565,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",89,594,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),346,445,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),335,426,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),316,455,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),718,379,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),306,404,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),329,384,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),390,464,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),325,416,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),528,434,t
Average Grade 2,A*+OD+ID,correct TSP cache (TU),327,391,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),138,384,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),85,375,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),241,460,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),163,440,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),109,418,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),468,426,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),139,445,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),92,416,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),67,398,t
Average Grade 2,BCP,heuristic-based waypoints 64 (TUD),66,370,t
Average Grade 2,CBS,(TUD),100,423,t
Average Grade 2,CBS,(TUD),88,435,t
Average Grade 2,CBS,(TUD),137,478,t
Average Grade 2,CBS,(TUD),147,453,t
Average Grade 2,CBS,(TUD),86,396,t
Average Grade 2,CBS,(TUD),109,371,t
Average Grade 2,CBS,(TUD),116,458,t
Average Grade 2,CBS,(TUD),98,424,t
Average Grade 2,CBS,(TUD),97,369,t
Average Grade 2,CBS,(TUD),118,447,t
Average Grade 2,M*,Python inflated,93,457,t
Average Grade 2,M*,Python inflated,78,432,t
Average Grade 2,M*,Python inflated,94,439,t
Average Grade 2,M*,Python inflated,78,466,t
Average Grade 2,M*,Python inflated,234,422,t
Average Grade 2,M*,Python inflated,250,446,t
Average Grade 2,M*,Python inflated,78,381,t
Average Grade 2,M*,Python inflated,78,447,t
Average Grade 2,M*,Python inflated,78,422,t
Average Grade 2,M*,Python inflated,94,405,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",58,389,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",93,566,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",76,546,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",68,528,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",74,451,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",68,502,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",62,511,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",81,619,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",149,565,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",78,524,t
Average Grade 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",77,475,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),983,509,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),247,456,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),237,426,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),460,491,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),568,439,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),6828,503,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),511,,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),433,548,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),318,467,t
Average Grade 3,A*+OD+ID,correct TSP cache (TU),317,479,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),158,425,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),112,460,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),594,497,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),181,415,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),102,484,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),704,518,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),94,435,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),109,429,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),486,539,t
Average Grade 3,BCP,heuristic-based waypoints 64 (TUD),249,453,t
Average Grade 3,CBS,(TUD),179,485,t
Average Grade 3,CBS,(TUD),147,484,t
Average Grade 3,CBS,(TUD),116,467,t
Average Grade 3,CBS,(TUD),100,479,t
Average Grade 3,CBS,(TUD),119,468,t
Average Grade 3,CBS,(TUD),112,498,t
Average Grade 3,CBS,(TUD),197,530,t
Average Grade 3,CBS,(TUD),123,513,t
Average Grade 3,CBS,(TUD),870,430,t
Average Grade 3,CBS,(TUD),236,500,t
Average Grade 3,M*,Python inflated,78,432,t
Average Grade 3,M*,Python inflated,328,469,t
Average Grade 3,M*,Python inflated,62,465,t
Average Grade 3,M*,Python inflated,62,477,t
Average Grade 3,M*,Python inflated,63,453,t
Average Grade 3,M*,Python inflated,78,502,t
Average Grade 3,M*,Python inflated,62,473,t
Average Grade 3,M*,Python inflated,62,470,t
Average Grade 3,M*,Python inflated,57,487,t
Average Grade 3,M*,Python inflated,62,504,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",97,688,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",59,599,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",58,572,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",47,592,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",43,572,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",51,529,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",60,594,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",73,578,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",41,574,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",66,535,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",50,667,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",40,488,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",59,549,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",44,535,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",74,664,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",42,472,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",64,551,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",70,560,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",86,606,t
Average Grade 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",81,562,t
Average Grade 4,A*+OD+ID,correct TSP cache (TU),126560,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),123114,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),123204,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),173,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),122404,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),5868,826,t
Average Grade 4,A*+OD+ID,correct TSP cache (TU),26597,797,t
Average Grade 4,A*+OD+ID,correct TSP cache (TU),88298,711,t
Average Grade 4,A*+OD+ID,correct TSP cache (TU),122661,,f
Average Grade 4,A*+OD+ID,correct TSP cache (TU),122919,,f
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),17066,787,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),119753,837,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),600009,816,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),600029,833,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),81487,877,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),23447,883,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),600012,827,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),14469,699,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),1440,859,t
Average Grade 4,BCP,heuristic-based waypoints 64 (TUD),264058,806,t
Average Grade 4,CBS,(TUD),3026,,f
Average Grade 4,CBS,(TUD),,,f
Average Grade 4,CBS,(TUD),3029,,f
Average Grade 4,CBS,(TUD),3032,,f
Average Grade 4,CBS,(TUD),3032,,f
Average Grade 4,CBS,(TUD),3026,,f
Average Grade 4,CBS,(TUD),3030,,f
Average Grade 4,CBS,(TUD),3031,,f
Average Grade 4,CBS,(TUD),3028,,f
Average Grade 4,CBS,(TUD),3034,,f
Average Grade 4,M*,Python inflated,78,837,t
Average Grade 4,M*,Python inflated,70,907,t
Average Grade 4,M*,Python inflated,62,765,t
Average Grade 4,M*,Python inflated,60721,,f
Average Grade 4,M*,Python inflated,31,,f
Average Grade 4,M*,Python inflated,60718,,f
Average Grade 4,M*,Python inflated,1578,882,t
Average Grade 4,M*,Python inflated,109,747,t
Average Grade 4,M*,Python inflated,219,820,t
Average Grade 4,M*,Python inflated,109,825,t
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",223,2034,t
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),122094,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),124535,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),124421,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),122979,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),122080,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),120478,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),120864,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),120310,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),122481,,f
Average Grade 5,A*+OD+ID,correct TSP cache (TU),122734,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),600111,1267,t
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),600009,824,t
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),607048,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),601276,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),607542,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),600020,987,t
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),603035,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),600019,1193,t
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),600750,,f
Average Grade 5,BCP,heuristic-based waypoints 64 (TUD),602697,,f
Average Grade 5,CBS,(TUD),3029,,f
Average Grade 5,CBS,(TUD),3028,,f
Average Grade 5,CBS,(TUD),3038,,f
Average Grade 5,CBS,(TUD),3036,,f
Average Grade 5,CBS,(TUD),3036,,f
Average Grade 5,CBS,(TUD),3027,,f
Average Grade 5,CBS,(TUD),3028,,f
Average Grade 5,CBS,(TUD),3026,,f
Average Grade 5,CBS,(TUD),3030,,f
Average Grade 5,M*,Python inflated,60593,,f
Average Grade 5,M*,Python inflated,607288,,f
Average Grade 5,M*,Python inflated,60765,,f
Average Grade 5,M*,Python inflated,2000,984,t
Average Grade 5,M*,Python inflated,60625,,f
Average Grade 5,M*,Python inflated,6125,991,t
Average Grade 5,M*,Python inflated,60484,,f
Average Grade 5,M*,Python inflated,60560,,f
Average Grade 5,M*,Python inflated,2625,952,t
Average Grade 5,M*,Python inflated,60562,,f
Average Grade 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),646,603,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),1457,617,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),1076,594,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),420,585,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),347,592,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),124105,,f
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),890,546,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),67133,590,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),6931,589,t
Chokepoints 1,A*+OD+ID,correct TSP cache (TU),123587,,f
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),2380,593,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),728,527,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),1770,597,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),840,546,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),379,535,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),356,592,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),6272,578,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),4568,611,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),4878,570,t
Chokepoints 1,BCP,heuristic-based waypoints 64 (TUD),1756,634,t
Chokepoints 1,CBS,(TUD),3025,,f
Chokepoints 1,CBS,(TUD),435,507,t
Chokepoints 1,CBS,(TUD),286,550,t
Chokepoints 1,CBS,(TUD),963,639,t
Chokepoints 1,CBS,(TUD),251,606,t
Chokepoints 1,CBS,(TUD),320,611,t
Chokepoints 1,CBS,(TUD),551,618,t
Chokepoints 1,CBS,(TUD),387,527,t
Chokepoints 1,CBS,(TUD),154,460,t
Chokepoints 1,CBS,(TUD),3025,,f
